Rank,City,AverageTCI,MaxTCI,Population,Area,Pop_Density
1,Lagos,6.02E+01,1.30E+02,1.35E+07,3.56E+03,3.79E+03
2,Riga,4.71E+01,8.75E+01,6.15E+05,3.04E+02,2.02E+03
3,Mumbai,3.84E+01,1.53E+02,2.10E+07,6.03E+02,3.47E+04
4,Tehran,3.82E+01,1.10E+02,9.38E+06,7.30E+02,1.29E+04
5,London,3.82E+01,1.29E+02,8.87E+06,1.57E+03,5.64E+03
6,Mexico City,3.59E+01,1.69E+02,2.21E+07,1.49E+03,1.49E+04
7,Krakow,3.58E+01,1.15E+02,7.70E+05,3.27E+02,2.35E+03
8,New York City,3.38E+01,1.23E+02,8.34E+06,7.78E+02,1.07E+04
9,Warsaw,3.34E+01,1.31E+02,1.80E+06,6.10E+03,2.94E+02
10,Lima,3.27E+01,9.91E+01,1.10E+07,2.67E+03,4.13E+03
11,Bogota,2.97E+01,1.03E+02,1.13E+07,1.64E+03,6.93E+03
12,Jakarta,2.96E+01,1.32E+02,1.11E+07,6.62E+02,1.67E+04
13,Sao Paulo,2.85E+01,1.25E+02,1.23E+07,1.52E+03,8.08E+03
14,Cairo,2.85E+01,1.16E+02,2.18E+07,3.09E+03,7.05E+03
15,Lodz,2.76E+01,1.08E+02,6.55E+05,2.93E+02,2.23E+03
16,Bucuresti,2.63E+01,1.14E+02,1.79E+06,2.39E+02,7.47E+03
17,Istanbul,2.54E+01,1.70E+02,1.56E+07,5.46E+03,2.86E+03
18,Dublin,2.44E+01,1.10E+02,1.46E+06,1.18E+02,1.24E+04
19,Brussels,2.42E+01,1.19E+02,1.22E+06,1.61E+02,7.58E+03
20,Rio de Janeiro,2.40E+01,9.83E+01,6.20E+06,1.20E+03,5.17E+03
21,Budapest,2.39E+01,1.09E+02,1.78E+06,5.25E+02,3.38E+03
22,Bangkok,2.29E+01,1.39E+02,1.05E+07,1.57E+03,6.72E+03
23,Moscow,2.14E+01,1.29E+02,1.26E+07,2.51E+03,5.03E+03
24,Birmingham,2.10E+01,1.01E+02,2.65E+06,2.68E+02,9.88E+03
25,Stockholm,2.10E+01,1.58E+02,1.68E+06,1.88E+02,8.93E+03
26,Paris,2.04E+01,6.98E+01,1.11E+07,1.05E+02,1.06E+05
