Rank,City,AverageTCI,MaxTCI,Population,Area,Pop_Density
1,Lagos,60.16,130.21,"13,491,800.00","3,559.00","3,790.90"
2,Riga,47.12,87.51,"614,618.00",304.00,"2,021.77"
3,Mumbai,38.37,153.41,"20,961,000.00",603.40,"34,738.15"
4,Tehran,38.20,110.12,"9,382,000.00",730.00,"12,852.05"
5,London,38.16,128.50,"8,870,000.00","1,572.00","5,642.49"
6,Mexico City,35.94,169.08,"22,085,000.00","1,485.00","14,872.05"
7,Krakow,35.83,114.84,"769,595.00",327.00,"2,353.50"
8,New York City,33.77,123.34,"8,335,897.00",778.20,"10,711.77"
9,Warsaw,33.37,131.22,"1,795,000.00","6,100.00",294.26
10,Lima,32.71,99.08,"11,045,000.00","2,672.28","4,133.17"
11,Bogota,29.69,103.10,"11,344,000.00","1,636.00","6,933.99"
12,Jakarta,29.55,132.36,"11,075,000.00",661.50,"16,742.25"
13,Sao Paulo,28.53,125.47,"12,284,940.00","1,521.00","8,076.88"
14,Cairo,28.46,115.55,"21,750,000.00","3,085.00","7,050.24"
15,Lodz,27.61,108.14,"655,279.00",293.20,"2,234.92"
16,Bucuresti,26.30,114.13,"1,785,000.00",239.00,"7,468.62"
17,Istanbul,25.41,169.65,"15,636,000.00","5,461.00","2,863.21"
18,Dublin,24.40,109.51,"1,458,154.00",117.80,"12,378.22"
19,Brussels,24.22,119.05,"1,222,637.00",161.40,"7,575.20"
20,Rio de Janeiro,24.03,98.27,"6,200,000.00","1,200.00","5,166.67"
21,Budapest,23.88,108.99,"1,775,000.00",525.20,"3,379.66"
22,Bangkok,22.90,138.51,"10,539,000.00","1,569.00","6,717.02"
23,Moscow,21.43,129.43,"12,640,818.00","2,511.00","5,034.18"
24,Birmingham,21.02,101.07,"2,645,598.00",267.80,"9,879.01"
25,Stockholm,20.97,158.14,"1,679,050.00",188.00,"8,931.12"
26,Paris,20.39,69.77,"11,142,303.00",105.00,"106,117.17"
27,Leeds,20.13,115.35,"516,298.00",111.60,"4,626.33"
28,Athens,19.57,136.62,"3,153,781.00",38.96,"80,949.20"
29,Bangalore,18.48,59.32,"13,193,035.00",741.00,"17,804.37"
30,Chennai,18.17,114.54,"11,503,293.00",426.00,"27,003.04"
31,New Delhi,17.94,57.99,"212,912.00",42.70,"4,986.23"
32,Berlin,17.75,89.81,"3,570,750.00",891.80,"4,003.98"
33,Riyadh,17.51,107.16,"7,538,200.00","1,973.00","3,820.68"
34,Saint Petersburg,17.24,100.40,"5,535,556.00","1,439.00","3,846.81"
35,Vienna,16.79,84.58,"1,960,023.00",414.60,"4,727.50"
36,Prague,15.83,56.47,"1,318,085.00",496.20,"2,656.36"
37,Vilnius,15.65,104.16,"540,775.00",401.00,"1,348.57"
38,Barcelona,15.13,138.36,"5,658,472.00",101.90,"55,529.66"
39,Santiago,13.89,105.00,"6,856,939.00",641.00,"10,697.25"
40,Palermo,13.45,53.22,"849,675.00",158.90,"5,347.23"
41,Hyderabad,12.19,56.52,"10,534,418.00",650.00,"16,206.80"
42,Marseille,11.77,79.38,"1,620,227.00",240.60,"6,734.11"
43,Milan,11.30,68.14,"3,149,223.00",181.80,"17,322.46"
44,Frankfurt,11.21,71.51,"791,232.00",248.30,"3,186.60"
45,Yangon,11.18,41.82,"5,514,454.00",598.80,"9,209.18"
46,Lisbon,11.01,87.53,"2,986,162.00",100.00,"29,861.62"
47,Cologne,10.46,46.33,"1,136,992.00",405.20,"2,806.00"
48,Rome,10.40,72.47,"4,297,877.00","1,285.00","3,344.65"
49,Ankara,10.04,56.81,"5,309,690.00","24,521.00",216.54
50,Tokyo,10.03,72.61,"37,274,002.00","2,194.00","16,989.06"
51,Casablanca,8.78,38.70,"3,840,396.00",384.00,"10,001.03"
52,Karachi,7.98,133.74,"16,839,950.00","3,780.00","4,455.01"
53,Ahmedabad,7.58,34.99,"8,450,228.00",505.00,"16,733.12"
54,Madrid,6.90,69.43,"6,713,557.00",604.30,"11,109.64"
55,Zagreb,6.82,44.77,"684,254.00",641.00,"1,067.48"
56,Seville,6.76,92.61,"701,339.00",141.40,"4,959.96"
57,Amsterdam,6.74,37.29,"1,165,898.00",219.30,"5,316.45"
58,Hong Kong,6.72,75.85,"7,643,256.00","2,755.00","2,774.32"
59,Hamburg,6.28,60.09,"1,788,170.00",755.20,"2,367.81"
60,Sofia,6.25,39.10,"1,286,789.00",492.00,"2,615.42"
61,Copenhagen,5.79,46.06,"1,370,131.00",179.80,"7,620.31"
62,Munich,5.56,37.67,"1,566,128.00",310.70,"5,040.64"
63,Lahore,5.42,25.14,"13,541,764.00","1,772.00","7,642.08"
64,Singapore,5.23,42.93,"6,039,577.00",734.30,"8,224.94"
65,Helsinki,4.67,22.43,"1,327,762.00",213.80,"6,210.30"
66,Turin,4.29,46.20,"1,798,471.00",130.20,"13,813.14"
67,Valencia,3.40,31.97,"836,857.00",134.60,"6,217.36"
68,Zaragoza,2.01,42.18,"736,488.00",973.80,756.30
